"scn","year","variable","description","unit","value","met"
"harvest_0_1day_above",1901,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.00430226464833944,"met1"
"harvest_0_1day_above",1902,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.00913501489154063,"met1"
"harvest_0_1day_above",1903,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.0178041484544458,"met1"
"harvest_0_1day_above",1904,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.028635661022213,"met1"
"harvest_0_1day_above",1905,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.0432372285260376,"met1"
"harvest_0_1day_above",1906,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.0684466665020239,"met1"
"harvest_0_1day_above",1907,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.0935553050946233,"met1"
"harvest_0_1day_above",1908,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.138478568377107,"met1"
"harvest_0_1day_above",1909,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.163581774595139,"met1"
"harvest_0_1day_above",1910,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.165761864770902,"met1"
"harvest_0_1day_above",1911,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.212277135301807,"met1"
"harvest_0_1day_above",1912,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.248049723436045,"met1"
"harvest_0_1day_above",1913,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.29413391055993,"met1"
"harvest_0_1day_above",1914,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.314327323793395,"met1"
"harvest_0_1day_above",1915,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.323133446368467,"met1"
"harvest_0_1day_above",1916,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.40415183537105,"met1"
"harvest_0_1day_above",1917,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.430133445908977,"met1"
"harvest_0_1day_above",1918,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.504431735404896,"met1"
"harvest_0_1day_above",1919,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.386647109119648,"met1"
"harvest_0_1day_above",1920,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.248629573292273,"met1"
"harvest_0_1day_above",1921,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.143239868121574,"met1"
"harvest_0_1day_above",1922,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.218163114017097,"met1"
"harvest_0_1day_above",1923,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.273697942042823,"met1"
"harvest_0_1day_above",1924,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.264438663690222,"met1"
"harvest_0_1day_above",1925,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.258802546806838,"met1"
"harvest_0_1day_above",1926,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.338967530433845,"met1"
"harvest_0_1day_above",1927,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.353753595176414,"met1"
"harvest_0_1day_above",1928,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.344519954184314,"met1"
"harvest_0_1day_above",1929,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.160663105929477,"met1"
"harvest_0_1day_above",1930,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.224783217639496,"met1"
"harvest_0_1day_above",1931,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.152635490992524,"met1"
"harvest_0_1day_above",1932,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.239413856228532,"met1"
"harvest_0_1day_above",1933,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.291844591745921,"met1"
"harvest_0_1day_above",1934,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.274473597433048,"met1"
"harvest_0_1day_above",1935,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.2647195709774,"met1"
"harvest_0_1day_above",1936,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.351731716540906,"met1"
"harvest_0_1day_above",1937,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.364330883726253,"met1"
"harvest_0_1day_above",1938,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.307077402473075,"met1"
"harvest_0_1day_above",1939,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.136793188888772,"met1"
"harvest_0_1day_above",1940,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.207011573544329,"met1"
"harvest_0_1day_above",1941,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.163026111110109,"met1"
"harvest_0_1day_above",1942,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.229789050900792,"met1"
"harvest_0_1day_above",1943,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.277495169552068,"met1"
"harvest_0_1day_above",1944,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.26164057419243,"met1"
"harvest_0_1day_above",1945,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.253436851051148,"met1"
"harvest_0_1day_above",1946,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.330618180303402,"met1"
"harvest_0_1day_above",1947,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.339014808576837,"met1"
"harvest_0_1day_above",1948,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.307953667690422,"met1"
"harvest_0_1day_above",1949,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.156300909035366,"met1"
"harvest_0_1day_above",1950,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.214794336124676,"met1"
"harvest_0_1day_above",1951,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.149258203066494,"met1"
"harvest_0_1day_above",1952,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.231927471301214,"met1"
"harvest_0_1day_above",1953,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.280186673290891,"met1"
"harvest_0_1day_above",1954,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.260713791136587,"met1"
"harvest_0_1day_above",1955,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.252358653078055,"met1"
"harvest_0_1day_above",1956,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.32608029995841,"met1"
"harvest_0_1day_above",1957,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.3338545709219,"met1"
"harvest_0_1day_above",1958,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.300387428173322,"met1"
"harvest_0_1day_above",1959,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.15587570754913,"met1"
"harvest_0_1day_above",1960,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.212084303733112,"met1"
"harvest_0_1day_above",1961,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.148825299788417,"met1"
"harvest_0_1day_above",1962,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.230471188350587,"met1"
"harvest_0_1day_above",1963,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.278162809976071,"met1"
"harvest_0_1day_above",1964,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.258067532609743,"met1"
"harvest_0_1day_above",1965,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.249594606417673,"met1"
"harvest_0_1day_above",1966,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.3232877482866,"met1"
"harvest_0_1day_above",1967,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.329656837134769,"met1"
"harvest_0_1day_above",1968,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.298371525913189,"met1"
"harvest_0_1day_above",1969,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.158580878689115,"met1"
"harvest_0_1day_above",1970,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.209324997185364,"met1"
"harvest_0_1day_above",1971,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.148027493384808,"met1"
"harvest_0_1day_above",1972,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.228679270004028,"met1"
"harvest_0_1day_above",1973,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.276022068983651,"met1"
"harvest_0_1day_above",1974,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.255481745524078,"met1"
"harvest_0_1day_above",1975,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.247559433616865,"met1"
"harvest_0_1day_above",1976,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.318538145483086,"met1"
"harvest_0_1day_above",1977,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.325422869750603,"met1"
"harvest_0_1day_above",1978,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.29570488590349,"met1"
"harvest_0_1day_above",1979,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.221790348211824,"met1"
"harvest_0_1day_above",1980,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.159475206732295,"met1"
"harvest_0_1day_above",1981,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.23356891519307,"met1"
"harvest_0_1day_above",1982,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.283853363636661,"met1"
"harvest_0_1day_above",1983,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.261666160612684,"met1"
"harvest_0_1day_above",1984,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.251647026208262,"met1"
"harvest_0_1day_above",1985,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.328456174293087,"met1"
"harvest_0_1day_above",1986,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.334673949232119,"met1"
"harvest_0_1day_above",1987,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.290314762886044,"met1"
"harvest_0_1day_above",1988,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.147805773289839,"met1"
"harvest_0_1day_above",1989,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.13586459651334,"met1"
"harvest_0_1day_above",1990,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.170040861504994,"met1"
"harvest_0_1day_above",1991,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.168183305283367,"met1"
"harvest_0_1day_above",1992,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.211754946028904,"met1"
"harvest_0_1day_above",1993,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.291418848738638,"met1"
"harvest_0_1day_above",1994,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.260168278265928,"met1"
"harvest_0_1day_above",1995,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.260424279319702,"met1"
"harvest_0_1day_above",1996,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.208756203373013,"met1"
"harvest_0_1day_above",1997,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.260172901694857,"met1"
"harvest_0_1day_above",1998,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.366030862232156,"met1"
"harvest_0_1day_above",1999,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.321508824932043,"met1"
"harvest_0_1day_above",2000,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.333712206113972,"met1"
"harvest_0_1day_above",2001,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.374452588111115,"met1"
"harvest_0_1day_above",2002,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.269118712637511,"met1"
"harvest_0_1day_above",2003,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.157913400269115,"met1"
"harvest_0_1day_above",2004,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.234766678438216,"met1"
"harvest_0_1day_above",2005,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.357923918542379,"met1"
"harvest_0_1day_above",2006,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.418732565392429,"met1"
"harvest_0_1day_above",2007,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.409789473963,"met1"
"harvest_0_1day_above",2008,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.407000945895198,"met1"
"harvest_0_1day_above",2009,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.381772498875346,"met1"
"harvest_0_1day_above",2010,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.404010023782615,"met1"
"harvest_0_1day_above",2011,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.402965436777843,"met1"
"harvest_0_1day_above",2012,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.403958868181799,"met1"
"harvest_0_1day_above",2013,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.392303377683142,"met1"
"harvest_0_1day_above",2014,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.375304560350376,"met1"
"harvest_0_1day_above",2015,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.346675385200028,"met1"
"harvest_0_1day_above",2016,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.300343520814117,"met1"
"harvest_0_1day_above",2017,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.266697225103213,"met1"
"harvest_0_1day_above",2018,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.255633324631944,"met1"
"harvest_0_1day_above",2019,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.254420328421033,"met1"
"harvest_0_1day_above",2020,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.252297418591332,"met1"
"harvest_0_1day_above",2021,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.253269537375469,"met1"
"harvest_0_1day_above",2022,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.252188533332299,"met1"
"harvest_0_1day_above",2023,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.252242961505168,"met1"
"harvest_0_1day_above",2024,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.250354249671168,"met1"
"harvest_0_1day_above",2025,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.251435921851262,"met1"
"harvest_0_1day_above",2026,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.251202099565193,"met1"
"harvest_0_1day_above",2027,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.250303993667642,"met1"
"harvest_0_1day_above",2028,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.249422195526939,"met1"
"harvest_0_1day_above",2029,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.249695096311436,"met1"
"harvest_0_1day_above",2030,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.249445433222886,"met1"
"harvest_0_1day_above",2031,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.236224384809332,"met1"
"harvest_0_1day_above",2032,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.148335692483292,"met1"
"harvest_0_1day_above",2033,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.229316447285227,"met1"
"harvest_0_1day_above",2034,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.279688314907782,"met1"
"harvest_0_1day_above",2035,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.256281536989759,"met1"
"harvest_0_1day_above",2036,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.247064284562278,"met1"
"harvest_0_1day_above",2037,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.31983797914163,"met1"
"harvest_0_1day_above",2038,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.32298529944049,"met1"
"harvest_0_1day_above",2039,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.283714689428757,"met1"
"harvest_0_1day_above",2040,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.155057673360167,"met1"
"harvest_0_1day_above",2041,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.201145366619986,"met1"
"harvest_0_1day_above",2042,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.145912528958229,"met1"
"harvest_0_1day_above",2043,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.22248402687068,"met1"
"harvest_0_1day_above",2044,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.267988414955649,"met1"
"harvest_0_1day_above",2045,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.244374655402035,"met1"
"harvest_0_1day_above",2046,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.234259570941397,"met1"
"harvest_0_1day_above",2047,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.2983761014697,"met1"
"harvest_0_1day_above",2048,"NPP_patch","Annual  Net primary productivity","kgC/m2",0.300611914058146,"met1"
"harvest_0_1day_above",1901,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.00419202550741223,"met1"
"harvest_0_1day_above",1902,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.00887527478820023,"met1"
"harvest_0_1day_above",1903,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.0173918080011693,"met1"
"harvest_0_1day_above",1904,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.0278391764926103,"met1"
"harvest_0_1day_above",1905,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.0419796992403766,"met1"
"harvest_0_1day_above",1906,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.0664950230469306,"met1"
"harvest_0_1day_above",1907,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.0910508272548516,"met1"
"harvest_0_1day_above",1908,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.13466415554285,"met1"
"harvest_0_1day_above",1909,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.15831091782699,"met1"
"harvest_0_1day_above",1910,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.15972261937956,"met1"
"harvest_0_1day_above",1911,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.203692195937037,"met1"
"harvest_0_1day_above",1912,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.234710885211825,"met1"
"harvest_0_1day_above",1913,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.282570364574591,"met1"
"harvest_0_1day_above",1914,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.297267431470876,"met1"
"harvest_0_1day_above",1915,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.303892953942219,"met1"
"harvest_0_1day_above",1916,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.379758773992459,"met1"
"harvest_0_1day_above",1917,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.404700208455324,"met1"
"harvest_0_1day_above",1918,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.473708382497231,"met1"
"harvest_0_1day_above",1919,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.352272338233888,"met1"
"harvest_0_1day_above",1920,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.216328951219718,"met1"
"harvest_0_1day_above",1921,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.106920029347142,"met1"
"harvest_0_1day_above",1922,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.165610651175181,"met1"
"harvest_0_1day_above",1923,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.232327022279302,"met1"
"harvest_0_1day_above",1924,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.211906167988976,"met1"
"harvest_0_1day_above",1925,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.207616827140252,"met1"
"harvest_0_1day_above",1926,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.283216762046019,"met1"
"harvest_0_1day_above",1927,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.301096460471551,"met1"
"harvest_0_1day_above",1928,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.287998935207725,"met1"
"harvest_0_1day_above",1929,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.102353719373544,"met1"
"harvest_0_1day_above",1930,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.17507816820095,"met1"
"harvest_0_1day_above",1931,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.0954319117590785,"met1"
"harvest_0_1day_above",1932,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.165731294701497,"met1"
"harvest_0_1day_above",1933,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.238474871963263,"met1"
"harvest_0_1day_above",1934,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.20658423534284,"met1"
"harvest_0_1day_above",1935,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.199286850790183,"met1"
"harvest_0_1day_above",1936,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.281549504647652,"met1"
"harvest_0_1day_above",1937,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.29860516389211,"met1"
"harvest_0_1day_above",1938,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.237764569620291,"met1"
"harvest_0_1day_above",1939,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.0660682953894138,"met1"
"harvest_0_1day_above",1940,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.148750709059338,"met1"
"harvest_0_1day_above",1941,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.0941632414857546,"met1"
"harvest_0_1day_above",1942,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.144257956494888,"met1"
"harvest_0_1day_above",1943,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.216669427851836,"met1"
"harvest_0_1day_above",1944,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.184991125017405,"met1"
"harvest_0_1day_above",1945,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.17996887365977,"met1"
"harvest_0_1day_above",1946,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.252477681885163,"met1"
"harvest_0_1day_above",1947,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.264360470076402,"met1"
"harvest_0_1day_above",1948,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.227789629250765,"met1"
"harvest_0_1day_above",1949,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.0723937588433425,"met1"
"harvest_0_1day_above",1950,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.14492156667014,"met1"
"harvest_0_1day_above",1951,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.0700335136304299,"met1"
"harvest_0_1day_above",1952,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.132152778406938,"met1"
"harvest_0_1day_above",1953,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.208582599957784,"met1"
"harvest_0_1day_above",1954,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.168674791852633,"met1"
"harvest_0_1day_above",1955,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.162396259605885,"met1"
"harvest_0_1day_above",1956,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.22944517681996,"met1"
"harvest_0_1day_above",1957,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.242395617067814,"met1"
"harvest_0_1day_above",1958,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.202520944178104,"met1"
"harvest_0_1day_above",1959,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.0540515897640338,"met1"
"harvest_0_1day_above",1960,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.128930014868577,"met1"
"harvest_0_1day_above",1961,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.0554779109855493,"met1"
"harvest_0_1day_above",1962,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.11450594291091,"met1"
"harvest_0_1day_above",1963,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.195475559681654,"met1"
"harvest_0_1day_above",1964,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.152918329151968,"met1"
"harvest_0_1day_above",1965,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.147587849448125,"met1"
"harvest_0_1day_above",1966,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.215458601713181,"met1"
"harvest_0_1day_above",1967,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.227837273230155,"met1"
"harvest_0_1day_above",1968,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.190596638868252,"met1"
"harvest_0_1day_above",1969,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.0469008409418166,"met1"
"harvest_0_1day_above",1970,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.118787003060182,"met1"
"harvest_0_1day_above",1971,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.0470652220149835,"met1"
"harvest_0_1day_above",1972,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.10367892558376,"met1"
"harvest_0_1day_above",1973,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.187336078534524,"met1"
"harvest_0_1day_above",1974,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.142856113302211,"met1"
"harvest_0_1day_above",1975,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.138904868314664,"met1"
"harvest_0_1day_above",1976,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.203826357920965,"met1"
"harvest_0_1day_above",1977,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.217970109234254,"met1"
"harvest_0_1day_above",1978,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.182537984102964,"met1"
"harvest_0_1day_above",1979,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.126392338424921,"met1"
"harvest_0_1day_above",1980,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.0531299362579982,"met1"
"harvest_0_1day_above",1981,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.102506396671136,"met1"
"harvest_0_1day_above",1982,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.19083517541488,"met1"
"harvest_0_1day_above",1983,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.143522798704604,"met1"
"harvest_0_1day_above",1984,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.13780023654302,"met1"
"harvest_0_1day_above",1985,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.209119102607171,"met1"
"harvest_0_1day_above",1986,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.222153823822737,"met1"
"harvest_0_1day_above",1987,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.172209496299426,"met1"
"harvest_0_1day_above",1988,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.025526427042981,"met1"
"harvest_0_1day_above",1989,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.0380876619989673,"met1"
"harvest_0_1day_above",1990,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.0571158255139987,"met1"
"harvest_0_1day_above",1991,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.0518819508142769,"met1"
"harvest_0_1day_above",1992,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.105487518012524,"met1"
"harvest_0_1day_above",1993,"NEP_patch","Annual  Net Ecosystem productivity","kg/m2",0.182285978148381,"met1"
