"scn","year","variable","description","unit","treatment","met","baseline","value","severity"
"harvest_45",0,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",-0.521826774459709,1979,-0.477501944098676,0.0887674517909638,"45 %"
"harvest_65",0,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",-0.55468722559265,1979,-0.477501944098676,0.149836166074168,"65 %"
"harvest_85",0,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",-0.601995244899633,1979,-0.477501944098676,0.231681315116469,"85 %"
"harvest_45",1,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.23304983540053,1979,2.83592675940505,-0.239000492722405,"45 %"
"harvest_65",1,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",1.81668319399932,1979,2.83592675940505,-0.44535636544087,"65 %"
"harvest_85",1,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",1.39322339556063,1979,2.83592675940505,-0.710748730972943,"85 %"
"harvest_45",2,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.00604411959871,1979,2.36944259869813,-0.16649005394692,"45 %"
"harvest_65",2,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",1.70435457076839,1979,2.36944259869813,-0.329468248864672,"65 %"
"harvest_85",2,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",1.34939487585061,1979,2.36944259869813,-0.562998485212655,"85 %"
"harvest_45",3,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.04922475612457,1979,2.28070145437587,-0.107021497195385,"45 %"
"harvest_65",3,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",1.77692142544597,1979,2.28070145437587,-0.249600720415057,"65 %"
"harvest_85",3,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",1.4286575565859,1979,2.28070145437587,-0.467747819346619,"85 %"
"harvest_45",4,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.06693563383302,1979,2.2254003008823,-0.0738696696273156,"45 %"
"harvest_65",4,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",1.83936302857567,1979,2.2254003008823,-0.190517478380343,"65 %"
"harvest_85",4,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",1.50202556223139,1979,2.2254003008823,-0.393122237952157,"85 %"
"harvest_45",5,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.10417335874965,1979,2.19708021062496,-0.0432066155720459,"45 %"
"harvest_65",5,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",1.91774562851268,1979,2.19708021062496,-0.135978957529147,"65 %"
"harvest_85",5,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",1.57219283966652,1979,2.19708021062496,-0.334657943869166,"85 %"
"harvest_45",6,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.09326670424633,1979,2.18940887630524,-0.044905725774513,"45 %"
"harvest_65",6,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",1.94962505562396,1979,2.18940887630524,-0.115994512977816,"65 %"
"harvest_85",6,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",1.6398815772177,1979,2.18940887630524,-0.289007557682949,"85 %"
"harvest_45",7,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.1022977032342,1979,2.18600016276135,-0.039042573223693,"45 %"
"harvest_65",7,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",1.98736031011144,1979,2.18600016276135,-0.0952661833549491,"65 %"
"harvest_85",7,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",1.70526602855967,1979,2.18600016276135,-0.248352337165541,"85 %"
"harvest_45",8,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.10820433101877,1979,2.18574203544232,-0.0361188180115724,"45 %"
"harvest_65",8,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.01366102486341,1979,2.18574203544232,-0.0820009044882102,"65 %"
"harvest_85",8,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",1.76823007732978,1979,2.18574203544232,-0.211976285231459,"85 %"
"harvest_45",9,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.13210768656535,1979,2.1887568053926,-0.0262226991989226,"45 %"
"harvest_65",9,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.05849113149055,1979,2.1887568053926,-0.0613604598931879,"65 %"
"harvest_85",9,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",1.82805515210599,1979,2.1887568053926,-0.180081070559839,"85 %"
"harvest_45",10,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.10801118573898,1979,2.19098767593144,-0.0386074987445462,"45 %"
"harvest_65",10,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.05581153612846,1979,2.19098767593144,-0.0636817576531445,"65 %"
"harvest_85",10,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",1.87551970936918,1979,2.19098767593144,-0.155466636391586,"85 %"
"harvest_45",11,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.10724941593105,1979,2.19005636535607,-0.0385437783784693,"45 %"
"harvest_65",11,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.07127317259359,1979,2.19005636535607,-0.055763803672882,"65 %"
"harvest_85",11,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",1.91402043089343,1979,2.19005636535607,-0.134721313680945,"85 %"
"harvest_45",12,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.10627942689343,1979,2.19136886102963,-0.0396033130177391,"45 %"
"harvest_65",12,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.07667476600822,1979,2.19136886102963,-0.0537584549759263,"65 %"
"harvest_85",12,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",1.95178688333688,1979,2.19136886102963,-0.115781095851965,"85 %"
"harvest_45",13,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.1279212722812,1979,2.19351103982001,-0.0303578998950434,"45 %"
"harvest_65",13,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.10087872256529,1979,2.19351103982001,-0.0431477780567446,"65 %"
"harvest_85",13,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",1.98345081549292,1979,2.19351103982001,-0.100665310744174,"85 %"
"harvest_45",14,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.12668269947149,1979,2.19388112030511,-0.0311088287889301,"45 %"
"harvest_65",14,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.07950055680658,1979,2.19388112030511,-0.0535444284249087,"65 %"
"harvest_85",14,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.00547506425456,1979,2.19388112030511,-0.0897912039149665,"85 %"
"harvest_45",15,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.12559618321358,1979,2.19425888466767,-0.031792031715919,"45 %"
"harvest_65",15,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.08173299832264,1979,2.19425888466767,-0.0526436324616092,"65 %"
"harvest_85",15,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.0253809666459,1979,2.19425888466767,-0.0800865370090431,"85 %"
"harvest_45",16,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.12928740539123,1979,2.19463191191373,-0.0302269662889879,"45 %"
"harvest_65",16,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.08144390214514,1979,2.19463191191373,-0.0529525019732016,"65 %"
"harvest_85",16,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.04100857924999,1979,2.19463191191373,-0.0725702513029237,"85 %"
"harvest_45",17,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.13256278838711,1979,2.19816607026433,-0.0302989647894947,"45 %"
"harvest_65",17,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.10174726158954,1979,2.19816607026433,-0.0448543801843809,"65 %"
"harvest_85",17,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.07454323530568,1979,2.19816607026433,-0.0578824064100806,"85 %"
"harvest_45",18,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.13500554549242,1979,2.19933051456079,-0.0296837583912815,"45 %"
"harvest_65",18,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.08106290445088,1979,2.19933051456079,-0.0552742275424193,"65 %"
"harvest_85",18,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.06263526543549,1979,2.19933051456079,-0.0641685821711716,"85 %"
"harvest_45",19,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.13737916930596,1979,2.19880113264185,-0.0283318808711262,"45 %"
"harvest_65",19,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.08124994236924,1979,2.19880113264185,-0.0549436250662523,"65 %"
"harvest_85",19,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.06808771323392,1979,2.19880113264185,-0.0612879018525291,"85 %"
"harvest_45",20,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.13927737304437,1979,2.19913766309272,-0.0275972163410992,"45 %"
"harvest_65",20,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.08375443496565,1979,2.19913766309272,-0.0538940287634984,"65 %"
"harvest_85",20,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.07192777609687,1979,2.19913766309272,-0.0595858455083319,"85 %"
"harvest_45",21,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.14243925920774,1979,2.19958748605988,-0.0263248157865503,"45 %"
"harvest_65",21,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.10296120579054,1979,2.19958748605988,-0.0449233869760326,"65 %"
"harvest_85",21,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.09461770403055,1979,2.19958748605988,-0.0488987799001218,"85 %"
"harvest_45",22,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.14394121954567,1979,2.20101055017577,-0.0262707693124401,"45 %"
"harvest_65",22,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.08417078608943,1979,2.20101055017577,-0.054545524256592,"65 %"
"harvest_85",22,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.07001939479584,1979,2.20101055017577,-0.0613586191885055,"85 %"
"harvest_45",23,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.14898820803494,1979,2.20036342804537,-0.0236254108290006,"45 %"
"harvest_65",23,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.0866364880186,1979,2.20036342804537,-0.0530691075588093,"65 %"
"harvest_85",23,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.06984318744363,1979,2.20036342804537,-0.0611496917376439,"85 %"
"harvest_45",24,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.1493140980039,1979,2.20032413891188,-0.0234559183241452,"45 %"
"harvest_65",24,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.08979249546912,1979,2.20032413891188,-0.0515399087972883,"65 %"
"harvest_85",24,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.06836579161252,1979,2.20032413891188,-0.0618458625517701,"85 %"
"harvest_45",25,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.15274931162175,1979,2.20355551673305,-0.0233264249513896,"45 %"
"harvest_65",25,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.10801964232066,1979,2.20355551673305,-0.0443232511539185,"65 %"
"harvest_85",25,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.08578169118204,1979,2.20355551673305,-0.0549285029517588,"85 %"
"harvest_45",26,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.15383198292165,1979,2.20347893594056,-0.0227888725556029,"45 %"
"harvest_65",26,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.09322717278167,1979,2.20347893594056,-0.0513304690031327,"65 %"
"harvest_85",26,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.06121650729135,1979,2.20347893594056,-0.0667410998669229,"85 %"
"harvest_45",27,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.15458721919443,1979,2.20296007138004,-0.0222027834076127,"45 %"
"harvest_65",27,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.1142950853895,1979,2.20296007138004,-0.041080479014934,"65 %"
"harvest_85",27,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.06013903087745,1979,2.20296007138004,-0.0670284717573827,"85 %"
"harvest_45",28,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.15754242693485,1979,2.20441052490233,-0.0214903288712468,"45 %"
"harvest_65",28,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.11636977827314,1979,2.20441052490233,-0.0407578853474025,"65 %"
"harvest_85",28,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.06029654425311,1979,2.20441052490233,-0.0676102115509609,"85 %"
"harvest_45",29,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.15851642863434,1979,2.20297221827307,-0.0203863097604495,"45 %"
"harvest_65",29,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.11757705056575,1979,2.20297221827307,-0.0395349224812663,"65 %"
"harvest_85",29,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.07946396481379,1979,2.20297221827307,-0.0576973056032632,"85 %"
"harvest_45",30,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.16095322762113,1979,2.2058524394854,-0.0205645946298667,"45 %"
"harvest_65",30,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.1194699120506,1979,2.2058524394854,-0.0399480121288116,"65 %"
"harvest_85",30,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.05818414298802,1979,2.2058524394854,-0.0692899179819595,"85 %"
"harvest_45",0,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.14112080385288,1979,1.13550149525205,0.00493654130915941,"45 %"
"harvest_65",0,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.1441469223549,1979,1.13550149525205,0.00758491395806287,"65 %"
"harvest_85",0,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.14750020826856,1979,1.13550149525205,0.0105114450650042,"85 %"
"harvest_45",1,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.12692936013142,1979,1.11732210963964,0.00856170469988233,"45 %"
"harvest_65",1,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.13269302373131,1979,1.11732210963964,0.0136631554032346,"65 %"
"harvest_85",1,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.13559967527787,1979,1.11732210963964,0.0162260108396535,"85 %"
"harvest_45",2,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.09671124567588,1979,1.09828298601011,-0.00143211365221003,"45 %"
"harvest_65",2,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.10114952549338,1979,1.09828298601011,0.00260661883583772,"65 %"
"harvest_85",2,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.10291362740099,1979,1.09828298601011,0.00420739173746588,"85 %"
"harvest_45",3,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.07069249885778,1979,1.09131785730521,-0.0190803750084343,"45 %"
"harvest_65",3,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.07218715362251,1979,1.09131785730521,-0.0176853783221898,"65 %"
"harvest_85",3,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.0714872709165,1979,1.09131785730521,-0.0183383531609678,"85 %"
"harvest_45",4,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.05230504336456,1979,1.08759941222767,-0.032989855886245,"45 %"
"harvest_65",4,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.04416713739435,1979,1.08759941222767,-0.0407533234089328,"65 %"
"harvest_85",4,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.04061661909024,1979,1.08759941222767,-0.0441594529182804,"85 %"
"harvest_45",5,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.03969995242854,1979,1.08542657767733,-0.0430409046284294,"45 %"
"harvest_65",5,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.01594842970371,1979,1.08542657767733,-0.0661504791728177,"65 %"
"harvest_85",5,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.00932572347422,1979,1.08542657767733,-0.0726905614870933,"85 %"
"harvest_45",6,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.03144117010136,1979,1.08615205623209,-0.0516842081027083,"45 %"
"harvest_65",6,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.992523645982146,1979,1.08615205623209,-0.0901456686946867,"65 %"
"harvest_85",6,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.982549938683709,1979,1.08615205623209,-0.100245335010868,"85 %"
"harvest_45",7,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.02245725380878,1979,1.08567588652174,-0.059993927439219,"45 %"
"harvest_65",7,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.972523087014755,1979,1.08567588652174,-0.110064193844567,"65 %"
"harvest_85",7,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.955884885042906,1979,1.08567588652174,-0.127320516250191,"85 %"
"harvest_45",8,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.01435097244879,1979,1.08539985492826,-0.0676994770334523,"45 %"
"harvest_65",8,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.960157977727552,1979,1.08539985492826,-0.122605896915682,"65 %"
"harvest_85",8,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.930898200410108,1979,1.08539985492826,-0.153553801023405,"85 %"
"harvest_45",9,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.00553275706867,1979,1.08382406334082,-0.0749780790635454,"45 %"
"harvest_65",9,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.950510425803562,1979,1.08382406334082,-0.131251735010515,"65 %"
"harvest_85",9,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.906234537251294,1979,1.08382406334082,-0.178952721955957,"85 %"
"harvest_45",10,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.00363709963858,1979,1.08521151977281,-0.0781444157058292,"45 %"
"harvest_65",10,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.944790782717367,1979,1.08521151977281,-0.138566687041209,"65 %"
"harvest_85",10,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.889237527735531,1979,1.08521151977281,-0.19916581094324,"85 %"
"harvest_45",11,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.00346033771833,1979,1.08545882627368,-0.07854841443622,"45 %"
"harvest_65",11,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.938506438396871,1979,1.08545882627368,-0.145468341634967,"65 %"
"harvest_85",11,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.878546092038353,1979,1.08545882627368,-0.211489684944581,"85 %"
"harvest_45",12,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.00352824355165,1979,1.08580536209047,-0.0787999469524987,"45 %"
"harvest_65",12,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.936137155319254,1979,1.08580536209047,-0.148315260633469,"65 %"
"harvest_85",12,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.871975282207131,1979,1.08580536209047,-0.219316182422341,"85 %"
"harvest_45",13,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.00226006470621,1979,1.08483100620409,-0.0791667056092824,"45 %"
"harvest_65",13,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.935955788008869,1979,1.08483100620409,-0.147611258864213,"65 %"
"harvest_85",13,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.865029927032689,1979,1.08483100620409,-0.226415395133892,"85 %"
"harvest_45",14,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.00444523617625,1979,1.08682325109839,-0.0788236071363507,"45 %"
"harvest_65",14,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.939072136146327,1979,1.08682325109839,-0.146121972849972,"65 %"
"harvest_85",14,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.864658711167673,1979,1.08682325109839,-0.228679395902852,"85 %"
"harvest_45",15,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.00544423796237,1979,1.08754727678994,-0.078495484277298,"45 %"
"harvest_65",15,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.940799278517564,1979,1.08754727678994,-0.144950424665982,"65 %"
"harvest_85",15,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.866807699203491,1979,1.08754727678994,-0.226863082975629,"85 %"
"harvest_45",16,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.00658113757769,1979,1.0883533457915,-0.0781062856230883,"45 %"
"harvest_65",16,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.942755383439362,1979,1.0883533457915,-0.143614294563712,"65 %"
"harvest_85",16,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.869358296816548,1979,1.0883533457915,-0.224665791413839,"85 %"
"harvest_45",17,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.00643708991508,1979,1.08775555777053,-0.0776999916905005,"45 %"
"harvest_65",17,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.94348384377857,1979,1.08775555777053,-0.142292490055863,"65 %"
"harvest_85",17,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.870999195612967,1979,1.08775555777053,-0.22223067767595,"85 %"
"harvest_45",18,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.00938677166899,1979,1.09016679848234,-0.0769877209688527,"45 %"
"harvest_65",18,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.947350187537571,1979,1.09016679848234,-0.140417178607947,"65 %"
"harvest_85",18,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.875531574711204,1979,1.09016679848234,-0.219254773795095,"85 %"
"harvest_45",19,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.01104984370371,1979,1.09125416415433,-0.0763384039018812,"45 %"
"harvest_65",19,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.949767059646547,1979,1.09125416415433,-0.138866168939512,"65 %"
"harvest_85",19,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.878891597191493,1979,1.09125416415433,-0.216421358167396,"85 %"
"harvest_45",20,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.01286122885843,1979,1.09240105996529,-0.075598855311265,"45 %"
"harvest_65",20,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.9522591639931,1979,1.09240105996529,-0.137296131079444,"65 %"
"harvest_85",20,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.882449590911468,1979,1.09240105996529,-0.213431693512048,"85 %"
"harvest_45",21,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.01325817716618,1979,1.09208321509262,-0.074916021987309,"45 %"
"harvest_65",21,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.953424590018888,1979,1.09208321509262,-0.135782023338127,"65 %"
"harvest_85",21,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.884837438352406,1979,1.09208321509262,-0.210438415040543,"85 %"
"harvest_45",22,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.01662566574911,1979,1.09474323689938,-0.0740308765556264,"45 %"
"harvest_65",22,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.957739714843531,1979,1.09474323689938,-0.133699083255175,"65 %"
"harvest_85",22,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.890156707415978,1979,1.09474323689938,-0.20687760492942,"85 %"
"harvest_45",23,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.01873814128339,1979,1.09606341148416,-0.0731602989985749,"45 %"
"harvest_65",23,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.960510252043605,1979,1.09606341148416,-0.132015667223332,"65 %"
"harvest_85",23,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.894057061523199,1979,1.09606341148416,-0.203710722684072,"85 %"
"harvest_45",24,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.02089520543814,1979,1.09740634759267,-0.0722696350617211,"45 %"
"harvest_65",24,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.963261051413914,1979,1.09740634759267,-0.130380352329811,"65 %"
"harvest_85",24,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.898019354790449,1979,1.09740634759267,-0.200513187530013,"85 %"
"harvest_45",25,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.02160365320742,1979,1.09726552541057,-0.0714475971728302,"45 %"
"harvest_65",25,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.96467995395263,1979,1.09726552541057,-0.128780085456751,"65 %"
"harvest_85",25,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.900663334565858,1979,1.09726552541057,-0.19744494759991,"85 %"
"harvest_45",26,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.02533385778467,1979,1.10007056345542,-0.0703560518740697,"45 %"
"harvest_65",26,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.969175943173468,1979,1.10007056345542,-0.126683438013838,"65 %"
"harvest_85",26,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.906197340227664,1979,1.10007056345542,-0.193872508179269,"85 %"
"harvest_45",27,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",1.02767295514544,1979,1.10151759038369,-0.0693918772154823,"45 %"
